Hit/Miss,Stim_coordinates,Touch_coordinates,Stim_presentation_time,Response_time
1,(307, 42, 507, 242),(412, 150),2.1147007942199707,5.0121331214904785
0,(1278, 874, 1478, 1074),(1271, 1000),6.1250035762786865,7.06618595123291
1,(843, 176, 1043, 376),(944, 210),9.124061107635498,9.974680423736572
1,(1417, 53, 1617, 253),(1474, 221),13.360442399978638,14.325169086456299
1,(634, 578, 834, 778),(734, 715),16.60959506034851,17.38426947593689
1,(1257, 175, 1457, 375),(1344, 278),20.385667324066162,20.986242055892944
1,(1601, 340, 1801, 540),(1676, 418),24.9468195438385,25.620986461639404
1,(1261, 129, 1461, 329),(1326, 278),27.277941703796387,27.950961351394653
1,(1246, 735, 1446, 935),(1271, 817),30.235923528671265,30.759058952331543
1,(245, 571, 445, 771),(327, 675),34.28746509552002,35.132840394973755
1,(683, 419, 883, 619),(814, 517),38.065650939941406,38.54405879974365
1,(44, 623, 244, 823),(127, 686),40.48800826072693,41.13972187042236
1,(1713, 59, 1913, 259),(1775, 219),44.93621230125427,45.59360980987549
1,(513, 137, 713, 337),(614, 238),46.919371604919434,47.76566171646118
0,(940, 434, 1140, 634),(921, 508),51.03003478050232,51.5119686126709
1,(1360, 644, 1560, 844),(1427, 727),54.983627796173096,55.84626626968384
1,(1198, 275, 1398, 475),(1288, 382),59.790823221206665,60.40727472305298
1,(584, 23, 784, 223),(644, 129),61.871336698532104,62.681928396224976
1,(383, 501, 583, 701),(560, 567),66.28092336654663,66.87363958358765
1,(2, 795, 202, 995),(112, 844),70.72475361824036,71.46337652206421
1,(886, 832, 1086, 1032),(972, 939),74.42720317840576,75.61428999900818
1,(931, 215, 1131, 415),(1009, 273),79.1895546913147,79.70591402053833
1,(1308, 725, 1508, 925),(1393, 824),81.83648371696472,82.87545418739319
1,(786, 514, 986, 714),(872, 619),85.12145328521729,85.99629092216492
1,(220, 545, 420, 745),(310, 632),89.51691436767578,90.17823004722595
1,(838, 144, 1038, 344),(912, 230),92.28636860847473,92.98616433143616
1,(1394, 124, 1594, 324),(1485, 235),96.68913245201111,97.42960214614868
1,(1127, 527, 1327, 727),(1243, 584),99.02099275588989,99.67338037490845
1,(792, 58, 992, 258),(895, 86),101.04038405418396,101.9308500289917
1,(889, 1, 1089, 201),(1017, 156),104.74423384666443,105.56653308868408
1,(1516, 241, 1716, 441),(1620, 371),109.13185024261475,109.94378709793091
1,(1302, 830, 1502, 1030),(1386, 923),113.72326231002808,114.94309949874878
1,(139, 652, 339, 852),(279, 720),116.39123344421387,117.35805797576904
1,(995, 301, 1195, 501),(1071, 404),121.00531697273254,121.7124707698822
1,(1142, 184, 1342, 384),(1236, 305),124.07037878036499,124.89792895317078
1,(178, 594, 378, 794),(265, 725),127.25800251960754,128.08372712135315
1,(67, 563, 267, 763),(176, 684),130.6345729827881,131.45642399787903
1,(575, 857, 775, 1057),(679, 950),133.73570013046265,134.708167552948
1,(1662, 860, 1862, 1060),(1800, 966),136.0156831741333,137.09827160835266
1,(899, 782, 1099, 982),(1020, 887),138.21596503257751,139.0358383655548
1,(373, 565, 573, 765),(460, 681),140.44308519363403,141.20269107818604
1,(1042, 438, 1242, 638),(1108, 542),143.55246305465698,144.25435209274292
1,(808, 241, 1008, 441),(895, 310),147.46521615982056,148.1123025417328
1,(1526, 546, 1726, 746),(1644, 661),150.0030632019043,150.89932489395142
1,(94, 747, 294, 947),(183, 851),153.7440264225006,154.45735216140747
1,(742, 394, 942, 594),(867, 512),157.01752877235413,157.58370876312256
1,(1412, 637, 1612, 837),(1506, 713),160.6868348121643,161.59678196907043
1,(670, 740, 870, 940),(779, 815),163.3848593235016,164.12974905967712
1,(547, 846, 747, 1046),(646, 943),165.60595059394836,166.14625549316406
1,(717, 518, 917, 718),(837, 600),167.2767333984375,167.92438411712646
1,(1589, 152, 1789, 352),(1657, 319),169.7490155696869,170.51033473014832
1,(1007, 450, 1207, 650),(1097, 569),172.29058361053467,172.89972615242004
1,(1356, 670, 1556, 870),(1466, 769),174.62220525741577,175.35805940628052
1,(265, 189, 465, 389),(357, 310),179.144948720932,179.90981912612915
1,(833, 654, 1033, 854),(975, 792),181.21101593971252,181.88772583007812
1,(243, 169, 443, 369),(350, 269),184.3462040424347,185.15522408485413
1,(270, 511, 470, 711),(367, 619),186.48444414138794,187.38062977790833
1,(28, 112, 228, 312),(50, 213),190.19219160079956,190.88684391975403
1,(645, 475, 845, 675),(771, 580),194.16346907615662,194.88799238204956
1,(1183, 476, 1383, 676),(1348, 594),196.57061076164246,197.36233973503113
1,(1379, 3, 1579, 203),(1474, 127),198.8461627960205,199.6392514705658
1,(1272, 653, 1472, 853),(1380, 760),200.76052069664001,201.50814127922058
1,(1276, 842, 1476, 1042),(1346, 867),203.29940009117126,203.90285229682922
1,(1456, 471, 1656, 671),(1564, 548),207.61538982391357,208.31911754608154
1,(805, 490, 1005, 690),(893, 614),209.9678671360016,210.69437384605408
1,(698, 615, 898, 815),(801, 727),212.22266292572021,214.08051872253418
1,(623, 206, 823, 406),(715, 273),215.81035375595093,216.70049953460693
1,(329, 472, 529, 672),(457, 585),219.97397017478943,220.80112624168396
1,(580, 177, 780, 377),(713, 332),224.5956060886383,225.24177312850952
1,(712, 839, 912, 1039),(831, 950),228.9100637435913,229.44347667694092
1,(882, 609, 1082, 809),(992, 706),232.2358798980713,232.83040928840637
1,(174, 715, 374, 915),(290, 840),236.2539029121399,237.03981614112854
1,(1412, 270, 1612, 470),(1526, 386),240.67029237747192,241.2522840499878
